reporterISO,reporterDesc,refYear,previous_import_value,import_value,growth_percent,next_year_import_value
PAN,Panama,2023,38222817.0,36291214.0,-5.05353386172453,39253600.0
PAN,Panama,2024,36291214.0,39253600.0,8.162818692149564,32266060.0
PER,Peru,2022,28291609.76,21985804.094,-22.288606832529705,18948745.05
PER,Peru,2023,21985804.094,18948745.05,-13.813727398893832,24904148.705
PHL,Philippines,2022,97371475.0,86243741.0,-11.428125125967332,112755940.0
PHL,Philippines,2023,86243741.0,112755940.0,30.7410122666177,100543050.0
PHL,Philippines,2024,112755940.0,100543050.0,-10.831260863064065,100646084.0
PNG,Papua New Guinea,2022,2469102.629,3096414.455,25.406470295407065,3322369.498
POL,Poland,2022,443807607.0,415350751.0,-6.4119802254763965,352585558.0
POL,Poland,2023,415350751.0,352585558.0,-15.111371015674413,363738958.0
POL,Poland,2024,352585558.0,363738958.0,3.1633173131838825,432592351.0
PRT,Portugal,2022,144530351.39,169774010.44,17.465991611604572,172624759.006
PRT,Portugal,2023,169774010.44,172624759.006,1.6791430906366558,192764125.801
PRT,Portugal,2024,172624759.006,192764125.801,11.666557515251906,204341337.695
PRY,Paraguay,2022,7354976.0,5841311.06,-20.580147916186274,6550951.07
PRY,Paraguay,2023,5841311.06,6550951.07,12.14864270556413,8204169.272
PRY,Paraguay,2024,6550951.07,8204169.272,25.236308199139085,19059078.849
PSE,State of Palestine,2022,18507676.9,17446715.863,-5.732545703777641,15069990.654
PYF,French Polynesia,2022,5181700.19,4756810.475,-8.199812791561774,4366783.367
PYF,French Polynesia,2023,4756810.475,4366783.367,-8.19934092497137,4400859.637
PYF,French Polynesia,2024,4366783.367,4400859.637,0.7803517403111078,4845893.748
QAT,Qatar,2022,81467484.764,137341001.138,68.58382400764899,59075944.462
QAT,Qatar,2023,137341001.138,59075944.462,-56.985937212849805,63943256.991
ROU,Romania,2022,243316267.98,245307956.81,0.8185596657942021,248721722.87
ROU,Romania,2023,245307956.81,248721722.87,1.3916246763426794,247755022.67
ROU,Romania,2024,248721722.87,247755022.67,-0.3886673784843817,256799987.72
S19,"Other Asia, nes",2022,118538560.46,131265725.37,10.736729770136447,108479260.715
S19,"Other Asia, nes",2023,131265725.37,108479260.715,-17.359036100834064,118620560.243
SAU,Saudi Arabia,2022,174623333.501,186419089.74,6.754971401878818,196446003.356
SAU,Saudi Arabia,2023,186419089.74,196446003.356,5.378694655136768,257778423.689
SAU,Saudi Arabia,2024,196446003.356,257778423.689,31.221006935861766,244888936.661
SEN,Senegal,2022,12725718.562,15086254.594,18.549333937407248,13043529.926
SEN,Senegal,2023,15086254.594,13043529.926,-13.540303560914435,17182147.811
SGP,Singapore,2022,159517006.291,190508001.594,19.42801963476199,212135269.912
SGP,Singapore,2023,190508001.594,212135269.912,11.352419917820992,219073549.95
SGP,Singapore,2024,212135269.912,219073549.95,3.270686690090805,222004815.332
SLV,El Salvador,2022,9790811.9,10298516.82,5.185524195393846,10562589.13
SLV,El Salvador,2023,10298516.82,10562589.13,2.5641780716147875,13494092.67
SLV,El Salvador,2024,10562589.13,13494092.67,27.753645473853616,14870014.32
SRB,Serbia,2022,32322004.0,35558701.0,10.013911884919017,29482240.0
SRB,Serbia,2023,35558701.0,29482240.0,-17.088534814587295,41155648.0
SRB,Serbia,2024,29482240.0,41155648.0,39.59471193504971,49384713.0
STP,Sao Tome and Principe,2022,247914.64,342784.889,38.26730402044833,167539.968
SUR,Suriname,2022,1052962.26,2560701.06,143.1902032272268,1527509.265
SUR,Suriname,2023,2560701.06,1527509.265,-40.348005127939466,2136271.693
SUR,Suriname,2024,1527509.265,2136271.693,39.85327237933317,2860415.85
SVK,Slovakia,2022,132648889.961,141512283.697,6.681845387930439,126485759.743
SVK,Slovakia,2023,141512283.697,126485759.743,-10.618529756875482,134230276.247
SVK,Slovakia,2024,126485759.743,134230276.247,6.122836689075275,162498940.4
SVN,Slovenia,2022,53272287.977,55157010.122,3.537903507755704,49004218.731
SVN,Slovenia,2023,55157010.122,49004218.731,-11.155048791424415,57234079.971
SVN,Slovenia,2024,49004218.731,57234079.971,16.79418926190084,55546685.816
SWE,Sweden,2022,377066491.987,389379576.14,3.2654941276045584,309974067.871
SWE,Sweden,2023,389379576.14,309974067.871,-20.392828266999306,311720193.585
SWE,Sweden,2024,309974067.871,311720193.585,0.5633134816705574,362324625.402
SWZ,Eswatini,2022,2016281.85,2831069.61,40.41040988391577,4324463.48
SYC,Seychelles,2022,2953628.898,3671298.74,24.297901557164415,13520468.924
